"timeStamp","plate","description","created","totalDue","paid","scannedTime"
"Thu Sep 20 2018 12:04:51 GMT-0400 (Venezuela Time)","PDJ1274","","Thu Sep 20 2018 12:04:51 GMT-0400 (Venezuela Time)","6","6","Thu Sep 20 2018 12:10:59 GMT-0400 (Venezuela Time)"
"Thu Sep 20 2018 12:07:44 GMT-0400 (Venezuela Time)","PDJ1274","","Thu Sep 20 2018 12:07:44 GMT-0400 (Venezuela Time)","6","6","Thu Sep 20 2018 12:08:41 GMT-0400 (Venezuela Time)"
"Thu Sep 20 2018 13:07:50 GMT-0400 (Venezuela Time)","PBN 7766","","Thu Sep 20 2018 13:07:50 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:08:11 GMT-0400 (Venezuela Time)","PBN 7766","","Thu Sep 20 2018 13:08:11 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:08:38 GMT-0400 (Venezuela Time)","PBN 7766","","Thu Sep 20 2018 13:08:38 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:09:34 GMT-0400 (Venezuela Time)","PBN 7766","","Thu Sep 20 2018 13:09:34 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:09:58 GMT-0400 (Venezuela Time)","PBZ 4455","","Thu Sep 20 2018 13:09:58 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:13:12 GMT-0400 (Venezuela Time)","PBN 8877","","Thu Sep 20 2018 13:13:12 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:14:21 GMT-0400 (Venezuela Time)","PBN 8877","","Thu Sep 20 2018 13:14:21 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:16:38 GMT-0400 (Venezuela Time)","PBN 8877","","Thu Sep 20 2018 13:16:38 GMT-0400 (Venezuela Time)","","",""
"Thu Sep 20 2018 13:36:53 GMT-0400 (Venezuela Time)","PBM 9998","","Thu Sep 20 2018 13:36:53 GMT-0400 (Venezuela Time)","6","true","Thu Sep 20 2018 13:37:10 GMT-0400 (Venezuela Time)"
"Tue Nov 06 2018 14:32:15 GMT-0400 (Venezuela Time)","TCU 4447","","Tue Nov 06 2018 14:32:15 GMT-0400 (Venezuela Time)","0","true","Thu Jan 24 2019 20:01:57 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 18:41:01 GMT-0400 (Venezuela Time)","TBL 3255","","Thu Jan 24 2019 18:41:01 GMT-0400 (Venezuela Time)","12","true","Thu Jan 24 2019 19:58:59 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 18:47:33 GMT-0400 (Venezuela Time)","TCU4447","","Thu Jan 24 2019 18:47:33 GMT-0400 (Venezuela Time)","12","true","Thu Jan 24 2019 20:16:14 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 19:53:37 GMT-0400 (Venezuela Time)","PBL 1488","","Thu Jan 24 2019 19:53:37 GMT-0400 (Venezuela Time)","","",""
"Thu Jan 24 2019 19:53:55 GMT-0400 (Venezuela Time)","PBL 1488","","Thu Jan 24 2019 19:53:55 GMT-0400 (Venezuela Time)","","",""
"Thu Jan 24 2019 19:57:59 GMT-0400 (Venezuela Time)","P","","Thu Jan 24 2019 19:57:59 GMT-0400 (Venezuela Time)","6","true","Thu Jan 24 2019 20:33:18 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 20:09:15 GMT-0400 (Venezuela Time)","TCU 4447","","Thu Jan 24 2019 20:09:15 GMT-0400 (Venezuela Time)","6","true","Thu Jan 24 2019 20:19:22 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 20:23:54 GMT-0400 (Venezuela Time)","PBC 3215","","Thu Jan 24 2019 20:23:54 GMT-0400 (Venezuela Time)","6","true","Thu Jan 24 2019 20:24:23 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 20:27:52 GMT-0400 (Venezuela Time)","P   1","","Thu Jan 24 2019 20:27:52 GMT-0400 (Venezuela Time)","6","true","Thu Jan 24 2019 20:29:26 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 20:30:05 GMT-0400 (Venezuela Time)","TCU 4447","","Thu Jan 24 2019 20:30:05 GMT-0400 (Venezuela Time)","12","true","Fri Jan 25 2019 09:08:30 GMT-0400 (Venezuela Time)"
"Thu Jan 24 2019 20:37:14 GMT-0400 (Venezuela Time)","TBL 3255","","Thu Jan 24 2019 20:37:14 GMT-0400 (Venezuela Time)","12","true","Fri Jan 25 2019 09:07:05 GMT-0400 (Venezuela Time)"
"Fri Jan 25 2019 09:10:07 GMT-0400 (Venezuela Time)","TCU 4447","","Fri Jan 25 2019 09:10:07 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 09:11:26 GMT-0400 (Venezuela Time)","PT  3125","","Fri Jan 25 2019 09:11:26 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 09:13:25 GMT-0400 (Venezuela Time)","PBL 1488","","Fri Jan 25 2019 09:13:25 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 09:53:17 GMT-0400 (Venezuela Time)","PA44444","","Fri Jan 25 2019 09:53:17 GMT-0400 (Venezuela Time)","6","true","Fri Jan 25 2019 09:54:35 GMT-0400 (Venezuela Time)"
"Fri Jan 25 2019 11:00:59 GMT-0400 (Venezuela Time)","TDE 9361","","Fri Jan 25 2019 11:00:59 GMT-0400 (Venezuela Time)","6","true","Fri Jan 25 2019 11:02:12 GMT-0400 (Venezuela Time)"
"Fri Jan 25 2019 11:19:55 GMT-0400 (Venezuela Time)","PDD 4518","","Fri Jan 25 2019 11:19:55 GMT-0400 (Venezuela Time)","6","true","Fri Jan 25 2019 11:23:42 GMT-0400 (Venezuela Time)"
"Fri Jan 25 2019 11:31:00 GMT-0400 (Venezuela Time)","PBW 8779","","Fri Jan 25 2019 11:31:00 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:31:35 GMT-0400 (Venezuela Time)","PBW 8779","","Fri Jan 25 2019 11:31:35 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:33:00 GMT-0400 (Venezuela Time)","PBG 6378","","Fri Jan 25 2019 11:33:00 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:33:24 GMT-0400 (Venezuela Time)","TCJ 6553","","Fri Jan 25 2019 11:33:24 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:40:05 GMT-0400 (Venezuela Time)","TCU 11","","Fri Jan 25 2019 11:40:05 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:41:55 GMT-0400 (Venezuela Time)","PDM 9723","","Fri Jan 25 2019 11:41:55 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:42:35 GMT-0400 (Venezuela Time)","PCA 9783","","Fri Jan 25 2019 11:42:35 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:46:31 GMT-0400 (Venezuela Time)","PDJ 8872","","Fri Jan 25 2019 11:46:31 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:47:01 GMT-0400 (Venezuela Time)","PDN 4159","","Fri Jan 25 2019 11:47:01 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:51:43 GMT-0400 (Venezuela Time)","TCJ9298","","Fri Jan 25 2019 11:51:43 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:51:54 GMT-0400 (Venezuela Time)","PCS 7551","","Fri Jan 25 2019 11:51:54 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:53:09 GMT-0400 (Venezuela Time)","PBX 5845","","Fri Jan 25 2019 11:53:09 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:53:42 GMT-0400 (Venezuela Time)","PCD 9147","","Fri Jan 25 2019 11:53:42 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:54:04 GMT-0400 (Venezuela Time)","PDS 1716","","Fri Jan 25 2019 11:54:04 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:54:24 GMT-0400 (Venezuela Time)","PDN 2659","","Fri Jan 25 2019 11:54:24 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:54:44 GMT-0400 (Venezuela Time)","PDE 3107","","Fri Jan 25 2019 11:54:44 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:55:06 GMT-0400 (Venezuela Time)","PDG 8460","","Fri Jan 25 2019 11:55:06 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:55:25 GMT-0400 (Venezuela Time)","PDA 563","","Fri Jan 25 2019 11:55:25 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:58:21 GMT-0400 (Venezuela Time)","TBS 5168","","Fri Jan 25 2019 11:58:21 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 11:58:44 GMT-0400 (Venezuela Time)","PDT 5112","","Fri Jan 25 2019 11:58:44 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:00:10 GMT-0400 (Venezuela Time)","PCS 1042","","Fri Jan 25 2019 12:00:10 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:00:34 GMT-0400 (Venezuela Time)","PBX 5596","","Fri Jan 25 2019 12:00:34 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:01:15 GMT-0400 (Venezuela Time)","PDU 6741","","Fri Jan 25 2019 12:01:15 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:04:46 GMT-0400 (Venezuela Time)","PBK 987","","Fri Jan 25 2019 12:04:46 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:05:20 GMT-0400 (Venezuela Time)","PDB 1607","","Fri Jan 25 2019 12:05:20 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:09:50 GMT-0400 (Venezuela Time)","TDB 5923","","Fri Jan 25 2019 12:09:50 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:10:18 GMT-0400 (Venezuela Time)","PCZ 5327","","Fri Jan 25 2019 12:10:18 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:11:40 GMT-0400 (Venezuela Time)","TDD 8496","","Fri Jan 25 2019 12:11:40 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:12:15 GMT-0400 (Venezuela Time)","PCH 2436","","Fri Jan 25 2019 12:12:15 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:13:04 GMT-0400 (Venezuela Time)","TDR 3000","","Fri Jan 25 2019 12:13:04 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:16:27 GMT-0400 (Venezuela Time)","PCF 4146","","Fri Jan 25 2019 12:16:27 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:20:02 GMT-0400 (Venezuela Time)","PDK2441","","Fri Jan 25 2019 12:20:02 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:20:55 GMT-0400 (Venezuela Time)","PDJ4234","","Fri Jan 25 2019 12:20:55 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:22:38 GMT-0400 (Venezuela Time)","PBU102","","Fri Jan 25 2019 12:22:38 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:23:06 GMT-0400 (Venezuela Time)","TBH6949","","Fri Jan 25 2019 12:23:06 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:23:38 GMT-0400 (Venezuela Time)","PBM5111","","Fri Jan 25 2019 12:23:38 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:24:52 GMT-0400 (Venezuela Time)","HDL9251","","Fri Jan 25 2019 12:24:52 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:27:00 GMT-0400 (Venezuela Time)","PDE8995","","Fri Jan 25 2019 12:27:00 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:28:06 GMT-0400 (Venezuela Time)","PDG9908","","Fri Jan 25 2019 12:28:06 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:28:24 GMT-0400 (Venezuela Time)","PDU1858","","Fri Jan 25 2019 12:28:24 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:28:46 GMT-0400 (Venezuela Time)","TCX8310","","Fri Jan 25 2019 12:28:46 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:29:27 GMT-0400 (Venezuela Time)","TCH2535","","Fri Jan 25 2019 12:29:27 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:30:06 GMT-0400 (Venezuela Time)","PCH 505","","Fri Jan 25 2019 12:30:06 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:33:02 GMT-0400 (Venezuela Time)","TCF4666","","Fri Jan 25 2019 12:33:02 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:33:41 GMT-0400 (Venezuela Time)","PCC 4607","","Fri Jan 25 2019 12:33:41 GMT-0400 (Venezuela Time)","","",""
"Fri Jan 25 2019 12:34:16 GMT-0400 (Venezuela Time)","TDP4188","","Fri Jan 25 2019 12:34:16 GMT-0400 (Venezuela Time)","","",""
